title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,reference_url
"North Carolina Federation of Women&#39;s Clubs [1916-1917]","1916-1917 Yearbook","North Carolina Federation of Women&#39;s Clubs.","","1916;1917","","","","","North Carolina Federation of Women&#39;s Clubs;Women--North Carolina--Societies and clubs--Periodicals","","","General Collection. State Library of North Carolina","","","Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","","Text","application/pdf","English","","12137","coll029","","https://she-changed-world.cb.ncpedia.org/items/coll029.html"
"Tar heel junior historian [1994 : spring, v.33 : no.2]","Volume 33, number 2 (spring 1994)","","","1994","","","","","North Carolina--History--Periodicals;North Carolina--History--Societies, etc.--Periodicals","","","North Carolina State Documents Collection. State Library of North Carolina","","","Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752","","Text","application/pdf","English","","521023","coll030","","https://she-changed-world.cb.ncpedia.org/items/coll030.html"
"Status of women in North Carolina: presented to the 1975 North Carolina General Assembly","1974-1975","North Carolina Commission on the Education and Employment of Women.","","1974; 1975","","","","","Women--North Carolina--Statistics","","","North Carolina State Documents Collection. State Library of North Carolina","","","State Document see http://digital.ncdcr.gov/u?/p249901coll22,63754","","Text","application/pdf","English","","314805","coll031","","https://she-changed-world.cb.ncpedia.org/items/coll031.html"
"Status of women in North Carolina : employment &amp; earnings","June 2018","Anderson, Julie.","","2018-06","","","","","Women--Employment--North Carolina;Wages--Women--North Carolina;Working class women--North Carolina","","","North Carolina State Documents Collection. State Library of North Carolina","","","Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752","","Text","application/pdf","English","","361980","coll032","","https://she-changed-world.cb.ncpedia.org/items/coll032.html"
"Status of women in North Carolina : health &amp; wellness","2019; The second in a series of four publications on women&#39;s status in North Carolina commissioned by the North Carolina Council for Women and Youth Involvement.","Shaw, Elyse.","","2019","","","","","Women--Health and hygiene--North Carolina;Women--Diseases--North Carolina;Women&#39;s health services--North Carolina;Public health--North Carolina","","","North Carolina State Documents Collection. State Library of North Carolina","","","Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752","","Text","application/pdf","English","","607823","coll033","","https://she-changed-world.cb.ncpedia.org/items/coll033.html"
"Pro-Woman Suffrage Circular: Twelve Reasons Why Women Should Vote","A Circular listing twelve reasons why women should be able to vote.","Equal Suffrage Association of North Carolina.","","","","","","","Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women &amp; politics; Women &amp; the law; Women--History--20th century; Women--Suffrage; States&#39; rights (American politics)--History--20th century","","","Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina","","PC.1618","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image; Text","image/jpeg","English","","556","coll034","","https://she-changed-world.cb.ncpedia.org/items/coll034.html"
"Photographs: NC. Equal Suffrage Association, headquarters","Photographs of the headquarters office (Gertrude Weil is on the left) and the front of 116 and 118 Fayetteville Street with banners of NC. Equal Suffrage Association and States Rights Defense League of NC (the later of the two was the anti—suffrage league organization).","","","","","","","","Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women &amp; politics; Women &amp; the law; Women--History--20th century; Women--Suffrage; States&#39; rights (American politics)--History--20th century;","","","Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina","","PC.1618","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image; Text","image/jpeg","English","","553","coll035","","https://she-changed-world.cb.ncpedia.org/items/coll035.html"
"Back Our Girls Over There","WWI poster featuring YWCA switchboard operator at work; masses of soldiers appear in background. Text: &quot;Back our girls over there. United War Work Campaign&quot;","Underwood, Clarence F.","","1917; 1918","","","","","World War, 1914-1918; Young Women’s Christian Association of the U.S.A.; United War Work Campaign, Inc.; Posters; World War, 1914-1918--War work--Women; World War, 1914-1918--Women","","","World War I Papers. Military Collection. State Archives of North Carolina","","MilColl.WWI.Posters.4.21.c1 (other copies: MilColl.WWI.Posters.4.21.c2; MilColl.WWI.Posters.4.21.c3; MilColl.WWI.Posters.4.21.c4; MilColl.WWI.Posters.4.21.c5; MilColl.WWI.Posters.4.21.c6)","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English","","1888","coll036","","https://she-changed-world.cb.ncpedia.org/items/coll036.html"
"New Homemakers of America: Activities--Photographs","Photographs of activities of New Homemakers of America. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.","North Carolina. Department of Public Instruction.","","","","","","","Future Homemakers of America; Home economics; Home demonstration work; New Homemakers of America; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance","","","Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina","","Future Homemakers of America: Box 10","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English","","1945","coll037","","https://she-changed-world.cb.ncpedia.org/items/coll037.html"
"Letter: Sarepta Revis to Daniel W. Revis, June 7, 1863","Daniel W. Revis and his wife Sarepta were farmers in Henderson County. They wrote letters to each other during the Civil War while Daniel served in Co. B, 64th Regt., Infantry, North Carolina Troops. Sarepta did not know how to read or write but had family members help her compose letters to send to her husband while he was away. Her letters give a glimpse into her life as she lets him know how their family and farm are faring. In this letter, Sarepta gives Daniel a detailed account of a failed attempt by the Henderson County militia to round up Confederate deserters who were trying to return home. She lists who was killed and injured. There are more deserters than militia in Henderson County.  She wishes she could see Daniel again, and tells him she has moved in with her father.","Revis, Sarepta.","","1863-06-07","","","","","United States--History--Civil War, 1861-1865; United States--History--Civil War, 1861-1865--Health aspects; United States--History--Civil War, 1861-1865--Correspondence; United States--History--Civil War, 1861-1865--Desertions; Henderson County (N.C.); Women--North Carolina--Social conditions; Confederate States of America--Social conditions","","","Daniel W. Revis Letters. Private Collections. State Archives of North Carolina","","PC.1914","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image; Text","image/jpeg","English","","1232","coll038","","https://she-changed-world.cb.ncpedia.org/items/coll038.html"
"Future Homemakers of America: History--Photographs--People, Executive Council, State Officers","Photographs of people, executive council, and state officers. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.","North Carolina. Department of Public Instruction.","","","","","","","Future Homemakers of America; Home economics; Home demonstration work; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance","","","Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina","","Future Homemakers of America: Box 1","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English","","6619","coll039","","https://she-changed-world.cb.ncpedia.org/items/coll039.html"
"Future Homemakers of America: Publications--Newsletters and Bulletins, 1945, 1951, 1978","Newsletters and bulletins from 1945, 1951, and 1978. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.","North Carolina. Department of Public Instruction.","","1945; 1951; 1978","","","","","Future Homemakers of America; Home economics; Home demonstration work; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance","","","Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina","","Future Homemakers of America: Box 9","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image; Text","image/jpeg","English","","7694","coll040","","https://she-changed-world.cb.ncpedia.org/items/coll040.html"
"New Homemakers of America: History--Executive Council and State Officers--Photographs","Photographs of executive council and state officers. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.","North Carolina. Department of Public Instruction.","","","","","","","Future Homemakers of America; Home economics; Home demonstration work; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance","","","Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina","","Future Homemakers of America: Box 9","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English","","3049","coll041","","https://she-changed-world.cb.ncpedia.org/items/coll041.html"
"The Girl On The Land Serves The Nation&#39;s Need","Colored WWI poster shows four uniformed young women leading two horses and carrying farm utensils and vegetables. Text says &quot;Girl on the Land Serves the Nation&#39;s Need,&quot; and urges young women to apply to the YWCA Land Service Committee.","Penfield, Edward, 1866-1925.","","","","","","","World War, 1914-1918; Young Women’s Christian Association of the U.S.A.; Women; Posters; World War, 1914-1918--War work--Women; Agriculture;","","","World War I Papers. Military Collection. State Archives of North Carolina","","MilColl.WWI.Posters.4.28.c1 (other copy: MilColl.WWI.Posters.4.28.c2)","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English","","1916","coll042","","https://she-changed-world.cb.ncpedia.org/items/coll042.html"
"Women canning produce in Asheville, North Carolina","The Asheville Community Cannery was one of the activities of the local National League for Woman&#39;s Service during World War I. It was built in the fountain in the rear of the Buncombe County Court House. They produced 10,000 cans of vegetables in the summer of 1917 and an undetermined number in 1918. Miss May F. Jones was local League Chairman and Mrs. Thomas Smith local Chairman of the Food Conservation Committee.","","","","","","","","World War, 1914-1918; Canning and preserving; World War, 1914-1918--War work--Women; Canneries;","","","World War I Papers. Military Collection. State Archives of North Carolina","","Military Collection. World War I Papers. Private Collections. Box 18, Elizabeth Earl Jones, American Red Cross Volunteer, and May F. Jones, Y.M.C.A. Worker, Papers","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English","","3545","coll043","","https://she-changed-world.cb.ncpedia.org/items/coll043.html"
"Ann Preston Bridgers Papers","Papers of Ann Preston Bridgers relating to her service as YWCA hostess with the American Expeditiionary Forces in France, 1919. Items include correspondence, notes, maps, postcards, and travel documents including Bridgers&#39; passport.","Bridgers, Ann Preston.","","1919","","","","","United States. Army. American Expeditionary Forces; World War, 1914-1918; World War, 1914-1918--Women--United States; Young Women&#39;s Christian Association of the U.S.A.","","","Robert R. Bridgers Papers. Private Collections. State Archives of North Carolina","","PC.1385.3","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English; French","","8170","coll044","","https://she-changed-world.cb.ncpedia.org/items/coll044.html"
"Grosgrain Ribbon Sash: Vote for Women","Grosgrain Ribbon Sash, with the term &quot;Vote for Women&quot; printed on both sides. The sash is 4&quot; wide  X 45&quot; long.","","","","","","","","Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women &amp; politics; Women &amp; the law; Women--History--20th century; Women--Suffrage; States&#39; rights (American politics)--History--20th century;","","","Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina","","PC.1618","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image; Physical object","image/jpeg","English","","550","coll045","","https://she-changed-world.cb.ncpedia.org/items/coll045.html"
"Political Cartoons: Pro Women’s Suffrage","Political Cartoons promoting Women’s right to vote.","","","1920","","","","","Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women &amp; politics; Women &amp; the law; Women--History--20th century; Women--Suffrage; States&#39; rights (American politics)--History--20th century;","","","Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina","","PC.1618","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image; Text","image/jpeg","English","","566","coll046","","https://she-changed-world.cb.ncpedia.org/items/coll046.html"
"Hand Held Fan: &quot;I want to speak for myself at the polls&quot;","A hand held fan, one side stating &quot;Keep Cool and Raise A breeze For Suffrage! Votes for Women, Votes For Women&quot; the Other side has a cartoon drawing with the quote  &quot;I want to speak for myself at the polls.&quot;","National Woman Suffrage Publishing Company, Inc.","","","","","","","Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women &amp; politics; Women &amp; the law; Women--History--20th century; Women--Suffrage; States&#39; rights (American politics)--History--20th century;","","","Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina","","PC.1618","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image; Text","image/jpeg","English","","581","coll047","","https://she-changed-world.cb.ncpedia.org/items/coll047.html"
"Photograph: Tiny Broadwick shows the backpack parachute","Tiny Broadwick wearing her parachute ready for a jump. Tiny was born in Granville County, North Carolina and she was the first woman to make a parachute jump from an airplane.","","","","","","","","Brown, Georgia Thompson, 1893--1978; Martin, Glenn L. (Glenn Luther), 1886--1955; Parachuting; Skydiving; Skydivers; Aircraft industry--United States--History; Stunt flying;","","","Audio Visual Materials. State Archives of North Carolina","","N_61_2_15_Tiny_Broadwick","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English","","979","coll048","","https://she-changed-world.cb.ncpedia.org/items/coll048.html"
"Photograph: Tiny Broadwick lands in Griffith Park, Los Angeles, California","A picture of the first landing Tiny Broadwick made from a airplane, at Griffith Park, June 21, 1913. &quot;This picture was taken in action shot, and was a stand up landing.&quot; Tiny was born in Granville County, North Carolina and she was the first woman to make a parachute jump from an airplane.","","","1913-06-21","","","","","Brown, Georgia Thompson, 1893--1978; Parachuting; Skydiving; Skydivers; Aircraft industry--United States--History; Stunt flying;","","","Tiny Broadwick Papers. Private Collections. State Archives of North Carolina","","PC 1567","The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.","","Image","image/jpeg","English","","771","coll049","","https://she-changed-world.cb.ncpedia.org/items/coll049.html"
