objectid,cdmid,collectionid,compound_range,compound,cpdmaster,ia_identifier,title,othertitle,creator,contributor,date,description,subject,location,time_period,abstract,publisher,serialtitle,agencycurrent,rights,physicalcharacteristics,source,identifier,type,physicalformat,language,digitalcharacteristics,digitalcollection,format,titlereplaces,titlereplacedby,audience,metadatacreator,presfilename,preslocalfilepath,fulltext,transcription,capturetools,oclcnumber
coll010,307211,p249901coll22,,,,,Women of the century: a commemorative program of the Distinguished Women of North Carolina Awards Banquet,"Distinguished Women Awards Banquet, Commemorative Program, March 14, 2000",North Carolina Council for Women.,,2000,2000,North Carolina Council for Women--Awards;Women--North Carolina--Awards;Women--North Carolina--Biography;Women legislators--North Carolina--Biography,North Carolina,(1990-current) Contemporary,,North Carolina Council for Women,,"North Carolina Council for Women, Department of Administration;North Carolina Department of Administration","State Document see http://digital.ncdcr.gov/u?/p249901coll22,63754","iii, 90 pages : portraits ; 28 cm",North Carolina State Documents Collection. State Library of North Carolina,,Text,Programs;Biographies;Histories,English,4.01 MB; 96 p.,North Carolina Digital State Documents Collection,application/pdf,,,All,,pubs_women_womenofthecentury2000.pdf,,,,,43770408
coll011,306784,p249901coll22,,,,,"Women's history month in North Carolina: a salute to women in history, March 1991-1992",,,North Carolina Council for Women.,,,Women--United States--History;Women--North Carolina--History,North Carolina,(1990-current) Contemporary,,North Carolina Council for Women,,"North Carolina Council for Women, Department of Administration;North Carolina Department of Administration","State Document see http://digital.ncdcr.gov/u?/p249901coll22,63754",45 pages ; 28 cm,North Carolina State Documents Collection. State Library of North Carolina,,Text,Histories,English,2.42 MB; 50 p.,North Carolina Digital State Documents Collection,application/pdf,,,All,,pubs_women_womenshistorymonth1991.pdf,,,,,24425218
coll012,18767,p249901coll37,,,,,Equal suffrage : address,,"Clark, Walter, 1846-1924.",,1914,1914,North Caroliniana;Women--Suffrage,"Richmond, Richmond (city), Virginia",(1900-1929) North Carolina's industrial revolution and World War One,,,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",18 pages : map ; 23 cm,General Collection. State Library of North Carolina,,Text,Books,English,4754 KB; 28 p.,Selections from Print Publications,application/pdf,,,All,,gen_spc_equalsuffrageaddress1914.pdf,,,,,6781076
coll013,40568,p249901coll37,,,,,"Mary Mendenhall Hobbs : a lecture delivered at Guilford College, on Founders Day, 1955",,"Doak, Frances Renfrow.",Guilford College.,1955,1955,"Hobbs, Mary Mendenhall, 1852--1930","Guilford County, North Carolina",(1820-1860) Antebellum;(1860-1876) Civil War and Reconstruction;(1876-1900) Gilded Age;(1900-1929) North Carolina's industrial revolution and World War One,Call number B H682D,Guilford College,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",16 pages : illustrations ; 21 cm,Biography Collection. State Library of North Carolina,,Text,Biographies,English,9.84 MB; 28 p.,Selections from Print Publications,application/pdf,,,All,"Link, Hannah",gen_9396326_mary1955_0001.tif-gen_9396326_mary1955_0028.tif,\Preservation_content\gen\gen_9396326_mary1955\master,,,Indus BookScanner 9000,9396326
coll014,40502,p249901coll37,,,,,"Tributes to Dr. Elizabeth Delia Dixon Carroll, the Meredith auditorium, November 4, 1934",,,"Meredith College (Raleigh, N.C.)",1934,1934,"Carroll, Elizabeth Delia Dixon, -1934;Old State Library Collection","Raleigh, Wake County, North Carolina; Wake County, North Carolina",(1900-1929) North Carolina's industrial revolution and World War One;(1929-1945) Depression and World War Two,Call number B C3195M,Meredith College,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",8 pages ; 23 cm,Biography Collection. State Library of North Carolina,,Text,Biographies,English,6.44 MB; 16 p.,Selections from Print Publications,application/pdf,,,All,"Link, Hannah",gen_9378446_tributes1934_0001.tif-gen_9378446_tributes1934_0016.tif,,,,Indus BookScanner 9000,9378446
coll015,39661,p249901coll37,,,,,"Everywoman's magazine [1916 : October, v.1 : n.1]",,,"Covington, Nina Holland.",1916-10,"Volume 1, number 1 (October 1916)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,29.3 MB; 60 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0007.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0066.tif,,,,Indus BookScanner 9000,12149622
coll016,39541,p249901coll37,,,,,"Everywoman's magazine [1916 : December, v.1 : n.2]",,,"Covington, Nina Holland.",1916-12,"Volume 1, number 2 (December 1916)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,35.0 MB; 66 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0067.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0132.tif,,,,Indus BookScanner 9000,12149622
coll017,39600,p249901coll37,,,,,"Everywoman's magazine [1917 : January, v.1 : n.3]",,,"Covington, Nina Holland.",1917-01,"Volume 1, number 3 (January 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,29.9 MB; 58 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0133.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0190.tif,,,,Indus BookScanner 9000,12149622
coll018,39720,p249901coll37,,,,,"Everywoman's magazine [1917 : February, v.1 : n.4]",,,"Covington, Nina Holland.",1917-02,"Volume 1, number 4 (February 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,31.3 MB; 58 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0191.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0248.tif,,,,Indus BookScanner 9000,12149622
coll019,39427,p249901coll37,,,,,"Everywoman's magazine [1917 : March, v.1 : n.5]",,,"Covington, Nina Holland.",1917-03,"Volume 1, number 5 (March 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,30.2 MB; 58 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0249.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0306.tif,,,,Indus BookScanner 9000,12149622
coll020,39474,p249901coll37,,,,,"Everywoman's magazine [1917 : April, v.1 : n.6]",,,"Covington, Nina Holland.",1917-04,"Volume 1, number 6 (April 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,23.9 MB; 46 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0307.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0352.tif,,,,Indus BookScanner 9000,12149622
coll021,39751,p249901coll37,,,,,"Everywoman's magazine [1917 : May, v.1 : n.7]",,,"Covington, Nina Holland.",1917-05,"Volume 1, number 7 (May 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,16.4 MB; 30 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0353.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0382.tif,,,,Indus BookScanner 9000,12149622
coll022,39368,p249901coll37,,,,,"Everywoman's magazine [1917 : June-July, v.1 : n.9]",,,"Covington, Nina Holland.",1917-06; 1917-07,"Volume 1, number 9 (June-July 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,39.0 MB; 62 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0383.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0444.tif,,,,Indus BookScanner 9000,12149622
coll023,40043,p249901coll37,,,,,"Everywoman's magazine [1917 : August, v.1 : n.10]",,,"Covington, Nina Holland.",1917-08,"Volume 1, number 10 (August 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,12.8 MB 18 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0445.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0462.tif,,,,Indus BookScanner 9000,12149622
coll024,39893,p249901coll37,,,,,"Everywoman's magazine [1917 : September-October, v.1 : n.11]",,,"Covington, Nina Holland.",1917-09; 1917-10,"Volume 1, number 11 (September-October 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,13.5 MB; 22 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0463.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0484.tif,,,,Indus BookScanner 9000,12149622
coll025,39789,p249901coll37,,,,,"Everywoman's magazine [1917 : November, v.1 : n.12]",,,"Covington, Nina Holland.",1917-11,"Volume 1, number 12 (November 1917)",Women--Southern States--Periodicals;Women--North Carolina--Periodicals;Southern States--Social life and customs,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,Everywoman's Magazine,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753","1 volume : illustrations, music, portraits ; 30 cm",Periodicals Collection. State Library of North Carolina,,Text,Periodicals,English,27.5 MB; 37 p.,Selections from Print Publications,application/pdf,,,All,"Haas, Victoria",gen_serial_12149622_everywomans191610191711v1n1-12_0485.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0521.tif,,,,Indus BookScanner 9000,12149622
coll026,12145,p249901coll37,,,,,North Carolina Federation of Woman's Clubs [1905-1906],Year book; Federation of Woman's Clubs year book,North Carolina Federation of Women's Clubs.,,1905;1906,1905-1906 Yearbook,North Carolina Federation of Women's Clubs;Women--North Carolina--Societies and clubs--Periodicals,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,North Carolina Federation of Women's Clubs,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",1 volume : portraits ; 18-20 cm,General Collection. State Library of North Carolina,,Text,Periodicals,English,1142 KB; 42 p.,Selections from Print Publications,application/pdf,North Carolina Federation of Women's Clubs. North Carolina Federation of Woman's Clubs,North Carolina Federation of Women's Clubs. Year book,All,,gen_bm_serial_fedwomensclub190506.pdf,,,,,11011599
coll027,12142,p249901coll37,,,,,North Carolina Federation of Women's Clubs [1909-1910],Year book; Federation of Woman's Clubs year book,North Carolina Federation of Women's Clubs.,,1909;1910,1909-1910 Yearbook,North Carolina Federation of Women's Clubs;Women--North Carolina--Societies and clubs--Periodicals,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,North Carolina Federation of Women's Clubs,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",1 volume : portraits ; 18-20 cm,General Collection. State Library of North Carolina,,Text,Periodicals,English,2175 KB; 74 p.,Selections from Print Publications,application/pdf,North Carolina Federation of Women's Clubs. North Carolina Federation of Woman's Clubs,North Carolina Federation of Women's Clubs. Year book,All,,gen_bm_serial_fedwomensclub190910.pdf,,,,,11011599
coll028,12139,p249901coll37,,,,,North Carolina Federation of Women's Clubs [1913-1914],Year book; Federation of Woman's Clubs year book,North Carolina Federation of Women's Clubs.,,1913;1914,1913-1914 Yearbook,North Carolina Federation of Women's Clubs;Women--North Carolina--Societies and clubs--Periodicals,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,North Carolina Federation of Women's Clubs,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",1 volume : portraits ; 18-20 cm,General Collection. State Library of North Carolina,,Text,Periodicals,English,4215 KB; 94 p.,Selections from Print Publications,application/pdf,North Carolina Federation of Women's Clubs. North Carolina Federation of Woman's Clubs,North Carolina Federation of Women's Clubs. Year book,All,,gen_bm_serial_fedwomensclub191314.pdf,,,,,11011599
coll029,12137,p249901coll37,,,,,North Carolina Federation of Women's Clubs [1916-1917],Year book; Federation of Woman's Clubs year book,North Carolina Federation of Women's Clubs.,,1916;1917,1916-1917 Yearbook,North Carolina Federation of Women's Clubs;Women--North Carolina--Societies and clubs--Periodicals,North Carolina,(1900-1929) North Carolina's industrial revolution and World War One,,North Carolina Federation of Women's Clubs,,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753",1 volume : portraits ; 18-20 cm,General Collection. State Library of North Carolina,,Text,Periodicals,English,5636 KB; 122 p.,Selections from Print Publications,application/pdf,North Carolina Federation of Women's Clubs. North Carolina Federation of Woman's Clubs,North Carolina Federation of Women's Clubs. Year book,All,,gen_bm_serial_fedwomensclub191617.pdf,,,,,11011599
coll030,521023,p16062coll9,,,,,"Tar heel junior historian [1994 : spring, v.33 : no.2]",,,Tar Heel Junior Historian Association.;North Carolina Museum of History.,1994,"Volume 33, number 2 (spring 1994)","North Carolina--History--Periodicals;North Carolina--History--Societies, etc.--Periodicals",North Carolina,(1990-current) Contemporary,,North Carolina Museum of History,Tar heel junior historian,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",1 volume : illustrations ; 25-28 cm,North Carolina State Documents Collection. State Library of North Carolina,,Text,Periodicals,English,5.37 MB; 46 p.,North Carolina Digital State Documents Collection,application/pdf,Tarheel historian,,All,,pubs_serial_6740319_tar1994v33n2.pdf,,,,,6740319
coll031,314805,p249901coll22,,,,,Status of women in North Carolina: presented to the 1975 North Carolina General Assembly,,North Carolina Commission on the Education and Employment of Women.,,1974; 1975,1974-1975,Women--North Carolina--Statistics,North Carolina,(1945-1989) Post War/Cold War period,,North Carolina Commission on the Education and Employment of Women,,,"State Document see http://digital.ncdcr.gov/u?/p249901coll22,63754",210 pages : illustrations ; 28 cm,North Carolina State Documents Collection. State Library of North Carolina,,Text,Reports,English,7.62 MB; 224 p.,North Carolina Digital State Documents Collection,application/pdf,,,All,,pubs_women_statusofwomen1974.pdf,,,,,3035046
coll032,361980,p16062coll9,,,,,Status of women in North Carolina : employment & earnings,Employment and earnings,"Anderson, Julie.","Williams-Baron, Emma.;North Carolina Council for Women.",2018-06,June 2018,Women--Employment--North Carolina;Wages--Women--North Carolina;Working class women--North Carolina,North Carolina,(1990-current) Contemporary,,North Carolina Council for Women,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752","viii, 43 pages : illustrations (mostly color), maps (mostly color) ; 28 cm",North Carolina State Documents Collection. State Library of North Carolina,,Text,Reports,English,2.50 MB; 55 p.,North Carolina Digital State Documents Collection,application/pdf,,,All,,pubs_1047607672_status201806.pdf,,,,,1047607672
coll033,607823,p16062coll9,,,,,Status of women in North Carolina : health & wellness,Health and wellness,"Shaw, Elyse.","Tesfaselassie, Adiam.;North Carolina Council for Women.;Institute for Women's Policy Research.",2019,2019; The second in a series of four publications on women's status in North Carolina commissioned by the North Carolina Council for Women and Youth Involvement.,Women--Health and hygiene--North Carolina;Women--Diseases--North Carolina;Women's health services--North Carolina;Public health--North Carolina,North Carolina,(1990-current) Contemporary,,North Carolina Council for Women,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,North Carolina State Documents Collection. State Library of North Carolina,,Text,Reports,English,1.38 MB; 69 p.,North Carolina Digital State Documents Collection,application/pdf,,,All,,pubs_1136665944_status201906.pdf,,,,,1136665944
